id,studentId,jobId,status,createdAt,updatedAt
40112,10263,30152,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40113,10229,30084,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40114,10262,30084,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40115,10276,30084,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40116,10287,30084,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40117,10292,30084,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40118,10231,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40119,10244,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40120,10251,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40121,10261,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40122,10508,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40123,10514,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40124,10531,30066,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40125,10233,30160,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40126,10286,30160,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40127,10234,30166,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40128,10240,30130,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40129,10243,30130,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40130,10246,30130,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40131,10266,30130,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40132,10274,30130,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40133,10242,30082,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40134,10245,30083,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40135,10267,30083,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40136,10538,30083,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40137,10245,30001,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40138,10291,30001,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40139,10249,30155,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40140,10254,30099,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40141,10290,30099,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40142,10255,30147,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40143,10258,30162,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40144,10277,30162,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40145,10287,30162,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40146,10260,30070,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40147,10261,30070,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40148,10267,30017,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40149,10269,30063,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40150,10270,30112,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40151,10271,30048,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40152,10288,30048,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40153,10277,30165,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40154,10526,30165,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40155,10280,30116,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40156,10285,30007,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40157,10540,30007,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40158,10302,30025,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40159,10307,30033,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40160,10326,30033,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40161,10308,30125,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40162,10333,30125,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40163,10309,30114,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40164,10313,30002,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40165,10321,30002,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40166,10363,30002,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40167,10319,30067,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40168,10326,30067,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40169,10320,30085,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40170,10324,30123,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40171,10324,30104,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40172,10325,30026,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40173,10327,30027,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40174,10335,30020,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
